TLN - Functieloonschalen per 1 januari 2026(+4%),,,,,,,,,
Loonschaal/ trede,,,Bedragen per:,,,Uurloon à:,,,Trede
,,,Week,4 weken,Maand,100%,130%,150%,
A 1,A,1,"588,4","2353,6","2559,54","14,71","19,12","22,07",A 2
A 2,A,2,"591,88","2367,52","2573,49","14,8","19,24","22,2",A 3
A 3,A,3,"615,55","2462,2","2676,41","15,39","20,01","23,09",A 4
A 4,A,4,"640,17","2560,68","2783,46",16,"20,8",24,A 5
A 5,A,5,"665,78","2663,12","2894,81","16,64","21,63","24,96",A 6
A 6,A,6,"692,41","2769,64","3010,6","17,31","22,5","25,97",B 1
B 1,B,1,"599,12","2396,48","2604,97","14,98","19,47","22,47",B 2
B 2,B,2,"623,08","2492,32","2709,15","15,58","20,25","23,37",B 3
B 3,B,3,648,2592,"2817,5","16,2","21,06","24,3",B 4
B 4,B,4,"673,92","2695,68","2930,2","16,85","21,91","25,28",B 5
B 5,B,5,"700,88","2803,52","3047,43","17,52","22,78","26,28",B 6
B 6,B,6,"728,92","2915,68","3169,34","18,22","23,69","27,33",C 1
C 1,C,1,"625,07","2500,28","2717,8","15,63","20,32","23,45",C 2
C 2,C,2,"650,07","2600,28","2826,5","16,25","21,13","24,38",C 3
C 3,C,3,"676,07","2704,28","2939,55","16,9","21,97","25,35",C 4
C 4,C,4,"703,11","2812,44","3057,12","17,58","22,85","26,37",C 5
C 5,C,5,"731,23","2924,92","3179,39","18,28","23,76","27,42",C 6
C 6,C,6,"760,48","3041,92","3306,57","19,01","24,71","28,52",D 1
D 1,D,1,"665,49","2661,96","2893,55","16,64","21,63","24,96",D 2
D 2,D,2,"692,11","2768,44","3009,29","17,3","22,49","25,95",D 3
D 3,D,3,"719,79","2879,16","3129,65","17,99","23,39","26,99",D 4
D 4,D,4,"748,58","2994,32","3254,83","18,71","24,32","28,07",D 5
D 5,D,5,"778,52","3114,08",3385,"19,46","25,3","29,19",D 6
D 6,D,6,"809,66","3238,64","3520,4","20,24","26,31","30,36",E 1
E 1,E,1,"697,97","2791,88","3034,77","17,45","22,69","26,18",E 2
E 2,E,2,"725,89","2903,56","3156,17","18,15","23,6","27,23",E 3
E 3,E,3,"754,93","3019,72","3282,44","18,87","24,53","28,31",E 4
E 4,E,4,"785,13","3140,52","3413,75","19,63","25,52","29,45",E 5
E 5,E,5,"816,54","3266,16","3550,32","20,41","26,53","30,62",E 6
E 6,E,6,"849,2","3396,8","3692,32","21,23","27,6","31,85",E 7
E 7,E,7,"883,17","3532,68","3840,02","22,08","28,7","33,12",F 1
F 1,F,1,"729,49","2917,96","3171,82","18,24","23,71","27,36",F 2
F 2,F,2,"758,67","3034,68","3298,7","18,97","24,66","28,46",F 3
F 3,F,3,"789,02","3156,08","3430,66","19,73","25,65","29,6",F 4
F 4,F,4,"820,58","3282,32","3567,88","20,51","26,66","30,77",F 5
F 5,F,5,"853,4","3413,6","3710,58","21,34","27,74","32,01",F 6
F 6,F,6,"887,54","3550,16","3859,02","22,19","28,85","33,29",F 7
F 7,F,7,"923,04","3692,16","4013,38","23,08",30,"34,62",F 8
F 8,F,8,"959,96","3839,84","4173,91",24,"31,2",36,G 1
G 1,G,1,"770,65","3082,6","3350,79","19,27","25,05","28,91",G 2
G 2,G,2,"801,48","3205,92","3484,84","20,04","26,05","30,06",G 3
G 3,G,3,"833,54","3334,16","3624,23","20,84","27,09","31,26",G 4
G 4,G,4,"866,88","3467,52","3769,19","21,67","28,17","32,51",G 5
G 5,G,5,"901,55","3606,2","3919,94","22,54","29,3","33,81",G 6
G 6,G,6,"937,61","3750,44","4076,73","23,44","30,47","35,16",G 7
G 7,G,7,"975,11","3900,44","4239,78","24,38","31,69","36,57",G 8
G 8,G,8,"1014,11","4056,44","4409,35","25,35","32,96","38,03",G 9
G 9,G,9,"1054,67","4218,68","4585,71","26,37","34,28","39,56",H 1
H 1,H,1,"811,96","3247,84","3530,4","20,3","26,39","30,45",H 2
H 2,H,2,"844,44","3377,76","3671,63","21,11","27,44","31,67",H 3
H 3,H,3,"878,22","3512,88","3818,5","21,96","28,55","32,94",H 4
H 4,H,4,"913,35","3653,4","3971,25","22,83","29,68","34,25",H 5
H 5,H,5,"949,88","3799,52","4130,08","23,75","30,88","35,63",H 6
H 6,H,6,"987,87","3951,48","4295,26","24,7","32,11","37,05",H 7
H 7,H,7,"1027,38","4109,52","4467,05","25,68","33,38","38,52",H 8
H 8,H,8,"1068,48","4273,92","4645,75","26,71","34,72","40,07",H 9
H 9,H,9,"1111,22","4444,88","4831,58","27,78","36,11","41,67",H 10
H 10,H,10,"1155,67","4622,68","5024,85","28,89","37,56","43,34",H 10
